Month,Department,Account,Budget,Actual
2026-04,Sales,Salaries & Wages,60000.00,60280.14
2026-04,Sales,Contract Labor,9300.00,2604.00
2026-04,Sales,Travel & Entertainment,4000.00,3672.31
2026-04,Sales,Software & Subscriptions,5300.00,5144.41
2026-04,Sales,Professional Fees,3000.00,2649.73
2026-04,Sales,Facilities Allocation,4700.00,4755.25
2026-04,Sales,Other,2000.00,1973.80
2026-04,Marketing,Salaries & Wages,33000.00,33130.05
2026-04,Marketing,Contract Labor,5100.00,5472.22
2026-04,Marketing,Travel & Entertainment,2200.00,2073.02
2026-04,Marketing,Software & Subscriptions,2900.00,3028.50
2026-04,Marketing,Marketing Programs,7300.00,7153.97
2026-04,Marketing,Professional Fees,1600.00,1731.88
2026-04,Marketing,Facilities Allocation,2600.00,2602.30
2026-04,Marketing,Other,1100.00,1034.89
2026-04,Operations,Salaries & Wages,81000.00,81584.14
2026-04,Operations,Contract Labor,12600.00,12045.37
2026-04,Operations,Travel & Entertainment,5400.00,5952.51
2026-04,Operations,Software & Subscriptions,7200.00,7100.20
2026-04,Operations,Professional Fees,4000.00,3702.30
2026-04,Operations,Facilities Allocation,6300.00,6250.81
2026-04,Operations,Other,2700.00,2422.82
2026-04,Engineering,Salaries & Wages,96000.00,96471.66
2026-04,Engineering,Contract Labor,14900.00,16249.96
2026-04,Engineering,Travel & Entertainment,6400.00,5439.77
2026-04,Engineering,Software & Subscriptions,8500.00,8083.54
2026-04,Engineering,Professional Fees,4800.00,4850.37
2026-04,Engineering,Facilities Allocation,7500.00,7577.67
2026-04,Engineering,Other,3200.00,3317.27
2026-04,G&A,Salaries & Wages,42000.00,42192.31
2026-04,G&A,Contract Labor,6500.00,7070.57
2026-04,G&A,Travel & Entertainment,2800.00,3114.11
2026-04,G&A,Software & Subscriptions,3700.00,3868.38
2026-04,G&A,Professional Fees,2100.00,1823.24
2026-04,G&A,Facilities Allocation,3300.00,3289.85
2026-04,G&A,Other,1400.00,1391.76
2026-04,Customer Success,Salaries & Wages,39000.00,39302.01
2026-04,Customer Success,Contract Labor,6100.00,6638.45
2026-04,Customer Success,Travel & Entertainment,2600.00,2565.30
2026-04,Customer Success,Software & Subscriptions,3500.00,3523.25
2026-04,Customer Success,Professional Fees,2000.00,2140.37
2026-04,Customer Success,Facilities Allocation,3000.00,2994.07
2026-04,Customer Success,Other,1300.00,1213.24
2026-05,Sales,Salaries & Wages,60000.00,60032.37
2026-05,Sales,Contract Labor,9300.00,9205.74
2026-05,Sales,Travel & Entertainment,4000.00,4459.43
2026-05,Sales,Software & Subscriptions,5300.00,5054.48
2026-05,Sales,Professional Fees,3000.00,2707.64
2026-05,Sales,Facilities Allocation,4700.00,4721.26
2026-05,Sales,Other,2000.00,1970.47
2026-05,Marketing,Salaries & Wages,33000.00,33024.11
2026-05,Marketing,Contract Labor,5100.00,4894.66
2026-05,Marketing,Travel & Entertainment,2200.00,2440.19
2026-05,Marketing,Software & Subscriptions,2900.00,2864.84
2026-05,Marketing,Marketing Programs,7300.00,13870.00
2026-05,Marketing,Professional Fees,1600.00,1503.64
2026-05,Marketing,Facilities Allocation,2600.00,2582.28
2026-05,Marketing,Other,1100.00,1131.12
2026-05,Operations,Salaries & Wages,81000.00,80414.98
2026-05,Operations,Contract Labor,12600.00,12238.72
2026-05,Operations,Travel & Entertainment,5400.00,5478.35
2026-05,Operations,Software & Subscriptions,7200.00,7357.53
2026-05,Operations,Professional Fees,4000.00,3287.20
2026-05,Operations,Facilities Allocation,6300.00,6250.30
2026-05,Operations,Other,2700.00,2477.37
2026-05,Engineering,Salaries & Wages,96000.00,95422.46
2026-05,Engineering,Contract Labor,14900.00,13545.53
2026-05,Engineering,Travel & Entertainment,6400.00,6686.67
2026-05,Engineering,Software & Subscriptions,8500.00,8382.70
2026-05,Engineering,Professional Fees,4800.00,4580.24
2026-05,Engineering,Facilities Allocation,7500.00,7516.72
2026-05,Engineering,Other,3200.00,3531.92
2026-05,G&A,Salaries & Wages,42000.00,41939.73
2026-05,G&A,Contract Labor,6500.00,5969.07
2026-05,G&A,Travel & Entertainment,2800.00,2940.76
2026-05,G&A,Software & Subscriptions,3700.00,3675.82
2026-05,G&A,Professional Fees,2100.00,2449.63
2026-05,G&A,Facilities Allocation,3300.00,3338.08
2026-05,G&A,Other,1400.00,1570.66
2026-05,Customer Success,Salaries & Wages,39000.00,38676.68
2026-05,Customer Success,Contract Labor,6100.00,6687.28
2026-05,Customer Success,Travel & Entertainment,2600.00,2482.36
2026-05,Customer Success,Software & Subscriptions,3500.00,3592.05
2026-05,Customer Success,Professional Fees,2000.00,2285.19
2026-05,Customer Success,Facilities Allocation,3000.00,3032.98
2026-05,Customer Success,Other,1300.00,1208.96
2026-06,Sales,Salaries & Wages,60000.00,59834.93
2026-06,Sales,Contract Labor,9300.00,10207.60
2026-06,Sales,Travel & Entertainment,4000.00,3838.56
2026-06,Sales,Software & Subscriptions,5300.00,5433.44
2026-06,Sales,Professional Fees,3000.00,2545.08
2026-06,Sales,Facilities Allocation,4700.00,4666.31
2026-06,Sales,Other,2000.00,2010.12
2026-06,Marketing,Salaries & Wages,33000.00,32790.55
2026-06,Marketing,Contract Labor,5100.00,5115.87
2026-06,Marketing,Travel & Entertainment,2200.00,2355.45
2026-06,Marketing,Software & Subscriptions,2900.00,2990.33
2026-06,Marketing,Marketing Programs,7300.00,8220.48
2026-06,Marketing,Professional Fees,1600.00,1524.48
2026-06,Marketing,Facilities Allocation,2600.00,2632.78
2026-06,Marketing,Other,1100.00,1191.26
2026-06,Operations,Salaries & Wages,81000.00,80413.91
2026-06,Operations,Contract Labor,12600.00,11993.75
2026-06,Operations,Travel & Entertainment,5400.00,1890.00
2026-06,Operations,Software & Subscriptions,7200.00,7183.66
2026-06,Operations,Professional Fees,4000.00,4256.27
2026-06,Operations,Facilities Allocation,6300.00,6328.46
2026-06,Operations,Other,2700.00,2751.94
2026-06,Engineering,Salaries & Wages,96000.00,96344.19
2026-06,Engineering,Contract Labor,14900.00,46190.00
2026-06,Engineering,Travel & Entertainment,6400.00,6085.93
2026-06,Engineering,Software & Subscriptions,8500.00,8712.47
2026-06,Engineering,Professional Fees,4800.00,4865.36
2026-06,Engineering,Facilities Allocation,7500.00,7438.57
2026-06,Engineering,Other,3200.00,3424.21
2026-06,G&A,Salaries & Wages,42000.00,41927.20
2026-06,G&A,Contract Labor,6500.00,7146.68
2026-06,G&A,Travel & Entertainment,2800.00,2408.99
2026-06,G&A,Software & Subscriptions,3700.00,3707.06
2026-06,G&A,Professional Fees,2100.00,9240.00
2026-06,G&A,Facilities Allocation,3300.00,3258.68
2026-06,G&A,Other,1400.00,1436.39
2026-06,Customer Success,Salaries & Wages,39000.00,38873.57
2026-06,Customer Success,Contract Labor,6100.00,6119.75
2026-06,Customer Success,Travel & Entertainment,2600.00,2809.71
2026-06,Customer Success,Software & Subscriptions,3500.00,3403.40
2026-06,Customer Success,Professional Fees,2000.00,1829.62
2026-06,Customer Success,Facilities Allocation,3000.00,3028.75
2026-06,Customer Success,Other,1300.00,1420.35
